Faculty Name,Citation Link
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:37UQlXuwjP4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:OBSaB-F7qqsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:i91s68tWr-MC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:2KloaMYe4IUC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:ULOm3_A8WrAC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:8AbLer7MMksC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:SrKkpNFED5gC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:M0j1y4EgrScC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:2ywjKiB__4kC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:RJOyoaXV5v8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:Y9VhQm-5nPIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&citation_for_view=QU2O6JMAAAAJ:TaaCk18tZOkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:GtLg2Ama23sC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:nPT8s1NX_-sC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:6ZxmRoH8BuwC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:R-LXmdHK_14C
